리뷰,rep,index,Processing
대신 그만큼 정리된 느낌이 덜하기도 하네요.,1,46,"['대신', '그만큼', '정리', '되다', '느낌', '덜하다', '하다']"
"가족들과 자전거를 타거나 인라인스케이트, 보드등을 탈 수 있는 전용공간이 있어 좋습니다.",2,46,"['가족', '자전거', '인라인스케이트', '보드등', '탈', '수', '전', '용공', '간', '좋다']"
다만 장기주차 차량으로 인해 주말에는 주차하기가 쉽지 않네요,3,46,"['장기', '주차', '차량', '인하다', '주말', '에는', '주차', '하다', '쉬다', '않다']"
주차는 힘들어요,0,47,"['주차', '는', '힘들다']"
텐트치는곳은 그늘없음주의,1,47,"['텐트', '치다', '곳', '은', '그늘', '없다', '주의']"
"안전요원 관리 철저함
수심이 얕음",0,48,"['안전', '요원', '관리', '철저함', '\r\n', '수심', '얕다']"
"뙤약볕
수질 그럭저럭",1,48,"['뙤약볕', '\r\n', '수질', '그럭저럭']"
암사동으로 올라오시면 축구장 앞 풍경임니다,0,49,"['암사동', '올라오다', '축구장', '앞', '풍경', '이다']"
아름다운곳 숨어있는 놀이터를 찾으삼 ㅋ,0,50,"['아름답다', '곳', '숨다', '놀이터', '찾다', 'ㅋ']"
가까운 곳에 있어서 넘 조아요~^__^,0,51,"['가깝다', '곳', '넘다', '좋다', '~^__^']"
넓은 공원과 편안하게 자전거를 즐길 수있고 드론공원도 있어 연습도 할 수 있습니다.,0,52,"['넓다', '공원', '편안하다', '자전거', '즐기다', '수', '드론', '공원', '도', '연습', '도', '하다', '수']"
또 인라인스케이트도 탈수있는 트렉이있어 가조기리 레포츠를 즐기기에 좋은 장소입니다.,1,52,"['인라인스케이트', '도', '탈수', '트렉', '가조기', '리', '레포츠', '즐기다', '좋다', '장소', '이다']"
매일 운동하고 산책하기,0,53,"['매일', '운동', '하고', '산책', '하다']"
잔디 구역이 있어 아이들과 함께 나와 휴식을 취하기 좋습니다.,0,54,"['잔디', '구역', '나오다', '휴식', '취하', '기', '좋다']"
"다만, 사람들이 화장실 시설을 바르게 사용하지 않아 지저분합니다.",1,54,"['사람', '화장실', '시설', '바르게', '사용', '하다', '않다', '지저분하다']"
"아이들 킥보드, 자전거, 스케이트보드, 인라인 등 타기 좋아요",2,54,"['킥', '보드', '자전거', '스케이트보드', '인', '라인', '좋다']"
호주에서 지낼때 보던 그런 느낌의 공원같은 암튼 좋았어요~~!ㅋ,0,55,"['호주', '지내다', '보다', '그렇다', '느낌', '공원', '암튼', '좋다', '~~!', 'ㅋ']"
생각보다 넓고 깔끔했습니다,0,56,"['생각', '보다', '넓다', '깔끔하다']"
화장실은 좀 먼듯,1,56,"['화장실', '은', '멀다']"
코로나 시대 가족과 나들이 하기 좋은 곳,0,57,"['코로나', '시대', '가족', '나들이', '하다', '좋다', '곳']"
"한강의 능수버들, 광나루에서 구리, 남양주까지",0,58,"['한강', '능수버들', '광나루', '구리', '남양주']"
한강은 라면이죠.,0,59,"['한강', '은', '라면', '죠']"
깨끗하게 뒷정리늨 필수``,1,59,"['깨끗하다', '뒷정리', '늨', '필수', '``']"
나날이 업그레이드 되가는 곳이라고 생각됩니다.,0,60,"['나날이', '업그레이드', '되다', '곳', '이라고', '생각', '되다']"
그만큼 이곳에 관심과 투자가 이루어지느 것 같다는 느낌을 시간간격을 두고 갈때마다 변화되는 환경과 시설에서 느끼게 됩니다.,1,60,"['그만큼', '곳', '관심', '투자가', '이루어지다', '느낌', '간격', '두다', '갈다', '마다', '변화', '되다', '환경', '시설', '느끼다', '되다']"
드론 비행이 가능하고 시설또한 굉장히 잘되있으며 이용하는 분들이 매너가 좋습니다.,2,60,"['드론', '비행', '가능하다', '시설', '굉장하다', '잘', '되다', '이용', '하다', '분', '매너', '좋다']"
분명히 19시까지만 텐트 운영이 가능 하다고 안내문이 있지만 아무도 지키지 않는 현실.,0,61,"['분명하다', '19시', '까지만', '텐트', '운영', '가능', '하다', '안', '내', '물다', '아무', '도', '지키다', '않다', '현실']"
동네 개새끼들 다 모였는지 벤치근처에 사람이 앉아있든 없든 개새끼가 오줌으로 벤치에 영역 표시하는 민폐를 주인이 막지 않는다.,1,61,"['동네', '개새끼', '다', '모이다', '벤치', '근처', '사람', '앉다', '없다', '개새끼', '오줌', '벤치', '영역', '표시', '하다', '민폐', '주인', '막다', '않다']"
나무 근처에 참치캔 놔두는 무개념 아지매들까지 관리가 필요한것같다.,2,61,"['나무', '근처', '참치', '캔', '놔두다', '무', '개념', '아지', '관리', '필요하다']"
전망이 좋아요.,0,62,"['전망', '좋다']"
야경도 좋고요.,1,62,"['야경', '도', '좋다']"
"춥지 않으면
돗자리 가지고 김밥싸서 강바람 즐기며
친구들과 이야기꽃을 피울수 있는 곳입니다~",2,62,"['추다', '않다', '\r\n', '돗자리', '가지', '고', '김밥', '싸다', '강바람', '즐기다', '\r\n', '친구', '이야기', '꽃', '피우다', '곳', '이다']"
아름다운 한강의 봄을 만끽할 수 있습니다.,0,63,"['아름답다', '한강', '봄', '만끽', '하다', '수']"
