리뷰,rep,index,Processing
캠핑장 시설도 잘되잇구 경치도 예쁘구 좋앗어요~,0,33,"['캠핑장', '시설', '도', '자다', '잇다', '경치', '도', '예쁘다', '좋다']"
다만 꽃가루가 심하게 날려서 눈도 제대로 뜨고잇기 힘들고 음식위에도 계속 올라가서 많이 아쉬웟어요,1,33,"['꽃가루', '심하다', '날다', '눈', '도', '제대로', '뜨다', '잇다', '힘들다', '음식', '위', '에도', '계속', '올라가다', '많이', '아쉽다', '웟', '요']"
"힙합페스티벌 콘서트, 토요일이었는데 비오고 바람 너무 쎄서 아쉬움,,",0,34,"['힙합', '페스티벌', '콘서트', '토요일', '이다', '비다', '바람', '너무', '쎄다', '아쉬움', ',,']"
가을에 강변 선선한 바람과 함께 느긋한 날씨 즐기기 좋은 곳.,0,35,"['가을', '강변', '선선', '한', '바람', '느긋하다', '날씨', '즐기다', '좋다', '곳']"
오전에 너무 늦지 않게 와서 자리를 선점하면 더욱 좋을 듯.,1,35,"['오전', '너무', '늦다', '않다', '오다', '자리', '선점', '면', '더욱', '좋다', '듯']"
난지 한강공원 아들과 자전거로 도보로 자주 가고있습니다.,0,36,"['난', '지', '한강', '공원', '아들', '자전거', '도보', '자주', '가다']"
시민들의 편한 쉼터 아주좋아요,1,36,"['시민', '편하다', '쉬다', '터', '아주', '좋다']"
구름낀 하늘이 더 감성적이네요.,0,37,"['구름', '끼다', '하늘', '더', '감성', '적다']"
날아가는 비행기도 보입니다,1,37,"['날아가다', '비행기', '도', '보이다']"
"피그닉하기 좋고, 각종 페스티벌을 즐기기엔 최고.",0,38,"['피', '닉', '하다', '좋다', '페스티벌', '즐', '기기', '엔', '최고']"
페스티벌이 아니어도 바이크를 즐길 수 있는 곳이나 놀이터 등 여러 시설이 잘 되어있음!,1,38,"['페스티벌', '아니다', '바이크', '즐기다', '수', '곳', '이나', '놀이터', '여러', '시설', '자다', '되어다']"
매년 5월 그린플러그드관람을 위해 방문.,0,39,"['매년', '5월', '그린플러그드', '관람', '위해', '방문']"
공원과 야구장 편의점이 가까워 매우 편하다.,1,39,"['공원', '야구장', '편의점', '가깝다', '매우', '편하다']"
화장실도 잘되어있다.,2,39,"['화장실', '도', '잘', '되어다']"
"간만에 산책했는데, 공원 수종도 다양하고 특히 조성된 수종 안내가  있어 나무를 찾아보게 되더라고요",0,40,"['간만', '산책', '하다', '공원', '수종', '도', '다양하다', '특히', '조성', '되다', '수종', '안내', '나무', '찾아보다', '되다']"
호랑가시나무도 있고 ^^,1,40,"['호랑가시나무', '도', '^^']"
4월은 어딜가나 예뻐요,0,41,"['4월', '은', '어딜', '가나', '예쁘다']"
상암동 메타세콰이어길과 연결되어 상큼한 초록을 볼수 있어요,1,41,"['상암동', '메타세콰이어', '길', '연결', '되어다', '상큼', '한', '초록', '보다']"
난지도의 냄새가 가끔 나기는 해요,2,41,"['난지도', '냄새', '가끔', '나기', '는', '해', '요']"
좋아하는 공간!,0,42,"['좋아하다', '공간']"
매일 자전거를 타거나 달려요,1,42,"['매일', '자전거', '달다']"
넓고 좋다 공연 보고 기분 좋았다 봄에 가면 좋다 대신 대중교통과는 거리가 멀다,0,43,"['넓다', '좋다', '공연', '보고', '기분', '좋다', '봄', '가면', '좋다', '대신', '대중교통', '과는', '거리', '멀다']"
주차장이 협소한게 흠이지만. 왠만한 해외 여행지보다 낫다.,0,44,"['주차장', '협소한', '게', '흠', '왠만하다', '해외', '여행지', '보다', '낫다']"
파란하늘과 한강에서 불어오는 바람이 시원하다.,1,44,"['파란하늘', '한강', '불어오다', '바람', '시원하다']"
간단한 텐트와 의자를 가져오면 편하게 쉴 수 있다.,2,44,"['간단하다', '텐트', '의자', '가져오다', '편하다', '쉬다', '수']"
안에 미스트탑이 2개 있으며 라면을 끓여먹는 시설도 있다,3,44,"['안', '미스트', '탑', '개', '라면', '끓이다', '먹다', '시설', '도']"
다만 가격은 다소 비싼편.,4,44,"['가격', '은', '비싸다', '편']"
음료와 과자등 간단한 먹을 거리는 사오는게 좋을것 같다,5,44,"['음료', '과자', '간단하다', '먹다', '거리', '는', '사오다', '좋다']"
나무도 많고 숲도 많고 그 자리에 그늘막도 치고 쉴수도 있어서 매우 좋았다.,0,45,"['나무', '도', '많다', '숲', '도', '많다', '자리', '그늘', '막도', '치고', '쉬다', '매우', '좋다']"
"다만 그늘막은 저녁7시가 되면 걷어야하고, 칠수있는 자리가 지정되어있어서 거기서만 해야한다.",1,45,"['그늘', '막다', '저녁', '7시', '되다', '걷다', '치다', '자리', '지정', '되어다', '거기', '서', '만', '하다', '하다']"
그리고 아이들 놀 공간도 많고 여러가지 행사도 많이 열려서 볼거리도 많다,2,45,"['놀', '공간', '도', '많다', '여러가지', '행사', '도', '많이', '열리다', '볼거리', '도', '많다']"
MTB 자전거 코스 있음..,0,46,"['MTB', '자전거', '코스', '..']"
도심에서 짧지만 즐길 수 있는 산악코스,1,46,"['도심', '짧다', '즐기다', '수', '산악', '코스']"
휴식공간으로 더 할 나위없습니다,0,47,"['휴식', '공간', '더', '하다', '나위', '없다']"
ㆍ 잔디광장도 좋고 산악 자전거 및 묘기 자전거 체험장도 인상 깊으며 특히 근처 하늘공원과 노을공원은 많은 시민들의 사랑을 받는 장소입니다ㆍ~,1,47,"['ㆍ', '잔디', '광장', '도', '좋다', '산악', '자전거', '묘기', '자전거', '체험', '장도', '인상', '깊다', '특히', '근처', '하늘', '공원', '노을', '공원', '은', '많다', '시민', '사랑', '받다', '장소', '이다', 'ㆍ']"
한산하고 깨끗한 공원입니다.,0,48,"['한산하다', '깨끗하다', '공원', '이다']"
평일에 즐길때 진가를 발휘하는곳입니다,1,48,"['평일', '즐기다', '진가', '발휘', '하다', '곳', '이다']"
하늘공원 서울함공원 문화비축기지 한강등이 가까워 매우 좋습니다.,0,49,"['하늘', '공원', '서울', '함', '공원', '문화', '비축', '기지', '한', '강등', '가깝다', '매우', '좋다']"
여러모로 산책도좋고 공연도하고 나들이가기좋은곳,0,50,"['여러', '모로', '산책', '도', '좋다', '공', '연도', '하고', '나들이', '가기', '좋다', '곳']"
썸페때문에 왔는데 교통상의 불편함이 여길 거부하는 이유도 있음.,0,51,"['썸페때문', '오다', '교통', '상의', '불편하다', '여기다', '거부', '하다', '이유', '도']"
매년 시설관리 상태나 안전한 방범 활동이 엄청난 발전을 거듭하고 있어요,0,52,"['매년', '시설', '관리', '상태', '안전하다', '방범', '활동', '엄청나다', '발전', '거듭', '하고']"
시민 의식도 나날이 향상되고 있는거 같아요^^,1,52,"['시민', '의식', '도', '나날이', '향상', '되다', '^^']"
원피스런인한강 전반적 사회분위기탓에 많은 사람들이 오지않았지만 물총놀이  하는 아이들은 너무 즐거웠지요,0,53,"['원', '피', '스런', '인', '한강', '전반', '적', '사회', '분위기', '탓', '많다', '사람', '오지', '않다', '물총', '놀이', '하다', '은', '너무', '즐겁다']"
쾌적하고.,0,54,['쾌적하다']
공원이 아주 멋쪄요,1,54,"['공원', '아주', '멋', '찌다']"
여러 편의시설등 좋아요,0,55,"['여러', '편의', '시설', '좋다']"
난지 익스트림장은 기물 비기너에게 최고의 공간이다.,0,56,"['난', '지', '익스트림', '장', '은', '기물', '비기너', '최고', '공간', '이다']"
친구들끼리 놀기도 좋고 데이트하기도 좋습니다,0,57,"['친구', '끼리', '놀다', '좋다', '데이트', '하다', '좋다']"
EDM등 음악공연들 보기좋네요.,0,58,"['EDM', '음악', '공연', '보기', '좋다']"
연인들이 공원내에서 거닐며 대화하기에 좋은듯..,1,58,"['연인', '공', '원내', '거닐다', '대화', '하다', '좋다', '듯', '..']"
섬 페스티벌때문에 방문했는데 너무 좋아요,0,59,"['섬', '페스티벌', '때문', '방문', '하다', '너무', '좋다']"
수양버들 이름모를 들꽃 봄  풍광 넘 좋아요,0,60,"['수양버들', '이름', '모르다', '들꽃', '봄', '풍', '광', '넘다', '좋다']"
비가옴...,0,61,"['비', '옴']"
아주 많이 오는 그런 날이었음..,1,61,"['아주', '많이', '오다', '그렇다', '날다', '..']"
하필 이런 비오는 날에 나는 락페스티벌을 오게 된 거임...,2,61,"['하필', '이렇다', '비다', '날', '는', '락페스티벌', '오다', '되다', '거임']"
그래도 우리의 락 스피릿은 죽지않아아아아 하며 왔는데 웬걸 다들 표정 죽어있음..,3,61,"['락', '스피릿', '은', '죽지', '않다', '하다', '오다', '웬걸', '다', '들다', '표정', '죽다', '..']"
너도 죽고 나도 죽고 쟤도 죽고 스탭표정도 죽고... 아...,4,61,"['도', '죽다', '나다', '죽다', '쟤', '도', '죽다', '스탭표정', '도', '죽다']"
락페티는 비오는 날은 가는게 아니구나....,5,61,"['락페티', '는', '비다', '날', '은', '가다', '아니다', '....']"
