리뷰,rep,index,Processing
"저는 한강에서 납자루낚시가 가능한 곳을 찾다가 이 곳을 알게 되었는데, 실제 낚시해 보니 예쁜 납자루가 나오네요^^",2,55,"['는', '한강', '납자루', '낚시', '가능하다', '곳', '찾다', '곳', '알', '게', '되어다', '실제', '낚시', '하다', '보다', '예쁘다', '납자루', '나오다', '^^']"
뒷 지느러미와 등지느러미에 새겨져 있는 주황색의 무늬가 예쁩니다.,3,55,"['뒷', '지느러미', '등지느러미', '새기다', '주황색', '무늬', '예쁘다']"
체고가 낮고 길죽한 모습이 납자루아과의 납자루입니다.,4,55,"['체고', '낮다', '길죽', '한', '모습', '납자루', '과의', '납자루', '이다']"
이 곳에서는 큰 납지리와 가시납지리도 종종 잡힙니다.,5,55,"['곳', '에서는', '크다', '납', '지리', '가시', '납', '지리', '도', '종종', '잡히다']"
건너편의 서래섬에 있는 낚시터에서도 동일한 납자루들이 잡힙니다^^,6,55,"['건너편', '서래섬', '낚시터', '에서도', '동일하다', '납자루', '잡히다', '^^']"
"누구나 알고 있겠지만, 서울 시내에서 바람 쐬기 좋은 곳.피크닉 구역쉬기 좋음.",0,56,"['알', '고', '서울', '시내', '바람', '쐬다', '좋다', '곳', '피크닉', '구역', '쉬다', '좋다']"
충전.,1,56,['충전']
난지풀장이아이들이재미있게노네요,0,57,"['난', '지', '풀', '장이', '재미있다', '요']"
가족단위로 많이 오는 공원이라 아이들이 많아요.,0,58,"['가족', '단', '위로', '많이', '오다', '공원', '이라', '많다']"
한강 공원 중에 그나마 한산한 편인 것 같습니다,1,58,"['한강', '공원', '중', '그나마', '한산하다', '편', '인']"
가을 분위기 만끽하고 왔네요...,0,59,"['가을', '분위기', '만끽', '하고', '오다']"
은근 더웠어요~^^,1,59,"['은근', '덥다', '~^^']"
거북이가 일광욕을 즐기고 있네요~^^,2,59,"['거북이', '일광욕', '즐기다', '~^^']"
view가  한강중에서 가히 1경이라 할 수 있겠네요,0,60,"['view', '가다', '한강', '중', '가히', '경이', '라', '하다', '수']"
"모든 체육시설을 보수했고,계속 보수중이라서 산책과 운동하기에 최적인 장소",0,61,"['모든', '체육', '시설', '보수', '하다', '계속', '보수', '중', '이라서', '산책', '운동', '하다', '최적', '인', '장소']"
잘 안가는 한강공원이지만 나름의 특색이 있어서 가끔 산책하러 오기 좋은 공원이네요,0,62,"['자다', '안', '가다', '한강', '공원', '나름', '특색', '가끔', '산책', '하다', '오기', '좋다', '공원', '이네', '요']"
요즘 해지면 날씨가 서늘해지면서 사람들이 많이 늘어난듯,0,63,"['요즘', '해지', '면', '날씨', '서늘하다', '사람', '많이', '늘어나다']"
너무좋아요,0,64,"['너무', '좋다']"
봄이 활짝  아흐~~~쒼난다요 ^^,0,65,"['봄', '활짝', '아흐', '~~~', '쒼', '난다요', '^^']"
아직 뭔가 부족한 …피크닉 구역잔디를 잘 꾸며 줬으면 ..,0,66,"['아직', '뭔가', '부족하다', '피크닉', '구역', '잔디', '자다', '꾸미다', '주다', '..']"
아주 좋아요,0,67,"['아주', '좋다']"
사람이 그렇게 많지않아요,1,67,"['사람', '그렇게', '많다', '않다']"
"잔디가 좋고 한적함
한강공원 중 탑급",0,68,"['잔디', '좋다', '한적하다', '\r\n', '한강', '공원', '중', '탑', '급']"
언제나 친구처럼 친근하고 편안한 한강...,0,69,"['언제나', '친구', '처럼', '친근하다', '편안하다', '한강']"
겨울이라도 아름답다고 공기 넘 조아,0,70,"['겨울', '이라도', '아름답다', '공기', '넘다', '조아']"
조형물이 많아서 사진찍기 좋고 런닝하시는 분들이 많아요.,0,71,"['조형', '물이', '많다', '사진', '찍기', '좋다', '런닝', '하다', '분', '많다']"
미세먼지가 없고 좋은 날씨에 산책하기 좋습니다.,1,71,"['미세먼지', '없다', '좋다', '날씨', '산책', '하다', '좋다']"
매번 올때마다 느끼는 거지만 깨끗하고 경치 끝내주네요,0,72,"['올', '마다', '느끼다', '거지', '만', '깨끗하다', '경치', '끝내주다']"
올들어 부쩍 늘어난 벤치와 미술작품 그리고 무엇보다 수목들이 둔치라는 말보다 수변공원이 더욱 어울리는 공간이 되어가고 있어  자주 찾게 됩니다.,0,73,"['오다', '들다', '부쩍', '늘어나다', '벤치', '미술', '작품', '보다', '수목', '두다', '말', '보다', '수', '변', '공원', '더욱', '어울리다', '공간', '되어다', '자주', '찾다', '되다']"
최근에는 노들섬 공연장 시설도 개관해 여유로운 휴식을 풍요롭게 가꾸는 아름다운 공간으로서  그 모습이 갖추어간다는 느낌.,1,73,"['최근', '에는', '노들섬', '공연장', '시설', '도', '개관', '하다', '여유', '로운', '휴식', '풍요롭', '게', '가꾸다', '아름답다', '공간', '모습', '갖추다', '간다', '는', '느낌']"
금국화가 만발했어요~,0,74,"['금', '국화', '만발', '하다']"
마스크는 꼭 씁시당!,1,74,"['마스크', '는', '꼭', '쓰다']"
한강물이 맑고 시설이 …,0,75,"['한', '강물', '맑다', '시설']"
피크닉 및 산책하기 좋아요,0,76,"['피크닉', '산책', '하다', '좋다']"
이촌 향도 하고 싶어지네요,0,77,"['이촌', '향', '도', '하다', '싶다']"
제2주차장으로 가야 편의점이 가까워요,0,78,"['주차장', '가야', '편의점', '가깝다']"
한적하니 넘  좋았어요,0,79,"['한적하다', '넘다', '좋다']"
산책길도 너무 예쁘게 조성되있고 자전거 타기도 좋아요,0,80,"['산책길', '도', '너무', '예쁘다', '조성', '되다', '자전거', '타', '기도', '좋다']"
다만 공원내 매점이 요즘 인테리어 공사로 닫겼으니 참고하세요,1,80,"['공', '원내', '매점', '요즘', '인테리어', '공사', '닫다', '기다', '참고', '하다']"
강북에 있는 한강공원중에서는 쾌적하고 좋은 편,0,81,"['강북', '한강', '공원', '중', '에서는', '쾌적하다', '좋다', '편']"
불꽃축제 보러 매년 한번씩 가요.,0,82,"['불꽃', '축제', '보다', '매년', '한번', '씩', '가요']"
여의도에서 보는것보다 이쪽에서 보는게 사람 적어서 좋아요.,1,82,"['여의도', '보다', '쪽', '보다', '사람', '적다', '좋다']"
언덕쪽에서 앉는데 엉덩이 오지게 아픔...,2,82,"['언덕', '쪽', '앉다', '엉덩이', '오지', '게', '아픔']"
매트를 두개나 깔았는데도 아직도 아프네요...,3,82,"['매트', '두', '개', '깔다', '아직도', '아프다']"
불꽃축제는 2017년 이후로 계속 퀄리티가 낮아지는 듯..ㅜㅜ,4,82,"['불꽃', '축제', '는', '2017년', '이후', '계속', '퀄리티', '낮아지다', '듯', '..', 'ㅜㅜ']"
아침부터 기다린 보람이 없었어요.,5,82,"['아침', '기다리다', '보람', '없다']"
내년에 또 올지는 고민해봐야겠어요.,6,82,"['내년', '오다', '고민', '해보다']"
그리고 자전거 탈거면 여의도쪽이 뷰가 더 좋아여...,7,82,"['자전거', '여의도', '쪽', '뷰', '더', '좋다']"
끝.,8,82,['끝']
산책하기 좋고 운동하기에도 아주 좋아요.,0,83,"['산책', '하다', '좋다', '운동', '하다', '아주', '좋다']"
"자연성  회복한다고  오랜기간  폐쇄하고  세금  잔뜩  쓰더니  한강  뷰를  가리는  결과를  낳았습니다,  시원한  강바람도  이전보다  못하고  꽃  조금  심고,  나무  좀  심고.",0,84,"['자연', '성', '회복하다', '오랜', '기간', '폐쇄', '하고', '세금', '잔뜩', '쓰다', '한강', '뷰', '가리다', '결과', '낳다', '시원하다', '강바람', '도', '이전', '보다', '못', '하고', '꽃', '심다', '나무', '심다']"
