,축제명,기간,시간,참여,장소,더보기,시작일,종료일
83,광진교8번가 클레이 매화액자 전시·체험,2023-04-01(토) ~ 2023-04-30(일),12:00~20:00. 매주 월요일 휴관,현장방문,광진교8번가,0,2023-04-01,2023-04-30
84,2023년 국회도서관 봄꽃축제,2023-04-07(금) ~ 2023-04-09(일),10:00 ~ 17:00,현장방문,국회도서관,0,2023-04-07,2023-04-09
85,2023년 영등포여의도봄꽃축제,2023-04-04(화) ~ 2023-04-09(일),11:00~20:00,현장방문,영등포 여의서로 국회뒤편,0,2023-04-04,2023-04-09
86,서울함공원 어린이미술대회 사전접수(행사 4.15.),2023-03-20(월) ~ 2023-04-12(수),4.15.(토)  14:00~16:00,서울함홈페이지 온라인 신청,서울함공원,0,2023-03-20,2023-04-12
87,광진교8번가  드림캐처 전시 및 자개모빌만들기,2023-03-14(화) ~ 2023-03-31(금),화~일 12시~18시 (월 휴관),현장방문,광진교8번가,0,2023-03-14,2023-03-31
88,2023 노들섬 반려견 페스티벌 [놀멍뭐하니] 선착순접수(행사 4.1.),2023-04-01(토) ~ 2023-04-01(토),11:00~16:00,"사전신청(3.3. 10:00~3.20. 17:00, 선착순) ",노들섬,0,2023-04-01,2023-04-01
89,여의도 반려인·반려견 임시쉼터 개장,2023-03-02(목) ~ 2023-04-30(일),10:00~17:00,현장방문,여의도한강수영장,0,2023-03-02,2023-04-30
90,허준박물관 신소장품 특별전 2017~2022 <우리 곁으로 온 역사의 향기>,2022-10-07(금) ~ 2023-03-19(일),매월 월요일 휴무,현장 방문,허준박물관,0,2022-10-07,2023-03-19
91,2023 노들 예술체험 프로그램 [다채로운 노들공방],2023-04-02(일) ~ 2023-04-09(일),14:00 ~ 17:00,노들섬홈페이지에서 예약,노들섬 내 노들라운지,0,2023-04-02,2023-04-09
92,2022 한강 눈썰매장,2022-12-23(금) ~ 2023-02-12(일),09:00~17:00,현장방문,뚝섬수영장 외,1,2022-12-23,2023-02-12
93,2022 잠수교 뚜벅뚜벅 축제,2022-08-28(일) ~ 2022-10-30(일),매주 일요일 12시~21시,현장 방문,잠수교,0,2022-08-28,2022-10-30
94,2022 한강페스티벌 겨울축제,2022-12-20(화) ~ 2022-12-27(화),매일 10:00~21:00,현장 방문,뚝섬자벌레(서울생각마루),0,2022-12-20,2022-12-27
95,2022 서울세계불꽃축제,2022-10-08(토) ~ 2022-10-08(토), 13:00 ~ 22:50,현장 방문,여의도한강공원,0,2022-10-08,2022-10-08
96,2022 한강페스티벌 가을축제,2022-10-01(토) ~ 2022-10-16(일),프로그램별 상이,프로그램별 상이,여의도한강공원 외,1,2022-10-01,2022-10-16
97,2022 한강페스티벌 여름축제,2022-07-29(금) ~ 2022-08-15(월),프로그램별 상이,프로그램별 상이,여의도한강공원 외,1,2022-07-29,2022-08-15
